year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,97.733333333333334,81,2.9498391252652243,81,59.0,81,0.0071266968325791854,81,0.78496631497933433,103
2012,1,2,90.711631274131264,80,5.392213825371833,80,58.5,80,0.0068162440574458414,80,0.78589711960767106,114
2012,1,3,83.252944475602916,69,5.6462185553780886,69,62.0,69,0.0072647601476014756,69,0.82523924791346448,89
2012,1,4,90.219923788786062,87,3.5579034742094384,87,64.0,87,0.0082818150005832258,87,0.80475182080531871,112
2012,1,5,87.623999999999995,77,4.9478236482314388,77,56.0,77,0.0064474532559638939,77,0.79151536089587649,107
2012,1,6,83.715380774559236,76,5.3040326070565937,76,53.0,76,0.0055916333580297017,76,0.86463777029555045,97
2012,1,7,101.3170731707317,85,3.7485918707729091,85,61.0,85,0.007428446580729736,85,0.77705368435828182,120
2012,1,8,101.01576246334311,93,4.7037676454118209,93,64.0,93,0.006837408737976591,93,0.7898827857401004,121
2012,1,9,107.32296819787986,71,3.1301335485097348,71,62.0,71,0.0066650209824734635,71,0.79425064403627743,107
2012,1,10,112.97028571428571,77,3.33477625905432,77,69.0,77,0.0067081935793004309,77,0.76832142494741984,121
2012,1,11,83.283372365339574,95,6.9479980134366945,95,49.0,95,0.0047061284250156871,95,0.83769430247425625,120
2012,1,12,83.740629685157415,75,4.2441680949069909,75,62.0,75,0.0065524772962409468,75,0.9837529475314486,99
2012,1,13,89.232825847679777,80,4.5801782742842487,80,64.0,80,0.0058187675225317981,80,0.76448633112242304,116
2012,1,14,85.417586691834003,72,5.0548515756196295,72,62.0,72,0.0070274149459532004,72,0.93814530161342968,94
2012,1,15,83.198033707865164,95,5.0744650248724561,95,59.0,95,0.0054818234275822277,95,0.97309099992541581,128
2012,1,16,108.32166543846721,75,4.4117689804794331,75,67.0,75,0.0069111581763460035,75,1.0268450228241153,98
2012,1,17,120.52178226592258,66,2.587318214884482,66,66.5,66,0.0078217237308146406,66,0.5479747543732465,94
2012,1,18,102.87833333333333,63,3.1362171887529953,63,65.0,63,0.0062565172054223151,63,0.78467291547943363,85
2012,1,19,81.776674937965254,61,4.8113875542977818,61,56.0,61,0.0063106796116504851,61,0.9729449948965343,86
2012,1,20,84.849294133407568,72,4.0617663242175777,72,60.5,72,0.0070937242437515442,72,0.800872140351227,100
2012,1,21,96.839622641509436,89,2.7777120527374994,89,58.0,89,0.0071527167775128622,89,0.9789576978026211,120
2012,1,22,89.548591315455695,70,4.6786161932726493,70,63.0,70,0.0069041338756933995,70,0.81907013660255346,92
2012,1,23,88.299382716049379,65,4.5572157898486338,65,61.0,65,0.0062274664044575552,65,0.89637376004475078,84
2012,1,24,89.29916897506925,69,2.8521887613440273,69,62.0,69,0.0063239494084047325,69,0.8627697147454283,85
2012,1,25,86.90026809651475,69,4.9041384316203196,69,58.0,69,0.0070007369196757553,69,0.80454428305875314,91
2012,1,26,106.26044236816642,62,4.8273192194601835,62,64.0,62,0.0070588897646661417,62,0.78344322594380533,89
2012,1,27,90.011642916642813,60,4.994745201587472,60,58.5,60,0.0067595391718524335,60,0.85457939038830155,85
2012,1,28,87.676540346134345,76,5.2582950944548017,76,64.0,76,0.0065142705235168409,76,1.0340750720985787,105
2012,1,29,83.086007130124784,77,4.3631410984486099,77,53.0,77,0.0066088393225939698,77,0.80423741423239814,115
2012,1,30,81.874345549738223,47,7.3548292535268489,47,54.0,47,0.0042072630646589901,47,0.92607252448539401,80
2012,1,31,87.862500583300374,68,5.4145635872754703,68,63.5,68,0.0064172187653685911,68,0.80246925651783618,98
2012,2,1,101.1741591636943,70,5.1665940799579353,70,59.5,70,0.0079530393878739832,70,0.89133630029265887,114
2012,2,2,89.075599867454144,56,5.7199314518068229,56,61.0,56,0.0059325317438548488,56,0.9935455595968532,92
2012,2,3,77.082713545188184,59,7.8400415418592369,59,57.0,59,0.0044378698224852072,59,0.92181356949556204,95
2012,2,4,88.499683238304826,78,3.5382053342056112,78,63.0,78,0.0074402556228586611,78,0.61418599445933086,116
2012,2,5,102.93799323562571,59,2.8762674777755382,59,61.0,59,0.0076949190901889784,59,0.76428007811005494,88
2012,2,6,90.502068252326779,59,5.5545976843446407,59,56.0,59,0.0055617352614015575,59,0.84005567959324012,86
2012,2,7,84.687714145863922,67,5.4480714598956954,67,59.0,67,0.0065015132832642077,67,0.76328310967692303,101
2012,2,8,158.10642478604933,98,1.4235571558463707,98,124.0,98,0.0087684467431302874,98,0.64364061185314703,143
2012,2,9,78.560299417798731,69,5.7636874451760143,69,44.0,69,0.0050390117035110536,69,0.80511140694772032,97
2012,2,10,88.424142393402349,70,5.3282286347306327,70,62.0,70,0.0072230481239856786,70,0.80304656501268346,107
2012,2,11,86.855585087645096,96,5.2757212209705395,96,60.0,96,0.0062978557649838521,96,0.79531652631709115,134
2012,2,12,84.82997451934213,109,5.796574401412828,109,59.0,109,0.0062071917808219175,109,0.80469787702141571,153
2012,2,13,86.809904873415121,60,8.0647040061627742,60,61.0,60,0.0064738128772401319,60,0.9814337618384823,89
2012,2,14,81.535304467905036,58,4.8359487194834063,58,53.0,58,0.0053731049812018239,58,0.90417982348458836,77
2012,2,15,92.110525847244077,74,5.0861949288474388,74,63.0,74,0.0057454065286884747,74,0.7901560563271206,100
2012,2,16,79.36681887282819,62,7.3202087517139933,62,51.5,62,0.0056520026278107094,62,1.1260078608505801,81
2012,2,17,117.44507042253521,75,3.0527199437919368,75,63.0,75,0.0051290270876743066,75,0.74834133248127421,98
2012,2,18,84.261740331491708,75,7.1301830389878171,75,58.0,75,0.0048008171603677223,75,1.0054854178639476,102
2012,2,19,106.41921397379913,87,4.1703242287980915,87,65.0,87,0.0067868268802848243,87,0.79815266756791414,115
2012,2,20,100.38840644874739,90,5.3211585669993458,90,61.0,90,0.0074825085279766768,90,0.79100082500774715,121
2012,2,21,87.893292682926827,75,3.9976609850823817,75,63.0,75,0.0073264201983769157,75,0.7860148536433309,97
2012,2,22,78.139996494733339,88,4.5529629337989723,88,58.5,88,0.0057617036815273233,88,0.79938930005098374,111
2012,2,23,82.296262803704735,68,4.4767677276711506,68,54.0,68,0.0079305843963215668,68,0.95462207869220383,87
2012,2,24,87.709187352991393,94,5.3633916731757463,94,60.5,94,0.0060757753526900563,94,0.80353571313013306,120
2012,2,25,82.840244434744648,99,4.6154580141271753,99,56.0,99,0.0074429166141036967,99,0.89084753723019117,121
2012,2,26,82.787005747296433,108,4.457424550418299,108,61.0,108,0.0071407626178201684,108,0.8003768617578757,146
2012,2,27,85.42720066750104,83,5.2440420447228657,83,57.0,83,0.0065210303227910011,83,0.8034381417198041,109
2012,2,28,74.444519160301184,48,5.6245459937022755,48,49.5,48,0.0066545654804605701,48,0.7948819146428201,70
2012,2,29,91.109622411693053,53,4.0973371603319144,53,60.0,53,0.0047988831690079399,53,0.80650754587274742,82
2012,3,1,77.062400229039426,70,5.4061642094926743,70,57.5,70,0.0041788436992139279,70,1.0641115193801036,100
2012,3,2,107.67373277558914,86,5.1159642282267574,86,68.0,86,0.0060949867741052497,86,0.76212573009789175,121
2012,3,3,92.049387637500345,92,4.3090044588960925,92,59.5,92,0.0066979258513048014,92,0.7198460034056986,124
2012,3,4,89.783742331288337,91,5.3040009075482786,91,57.0,91,0.0048627995831886069,91,0.79412017218421604,123
2012,3,5,96.458152958152965,88,4.2290231034702401,88,60.5,88,0.007622685820743315,88,0.79664099730480142,113
2012,3,6,83.046296296296291,97,5.3919742813416702,97,57.0,97,0.005955678670360111,97,1.0046396520552221,131
2012,3,7,88.572759022118746,71,5.4491092974680964,71,56.0,71,0.0060521006929216735,71,0.79910143493229158,97
2012,3,8,103.70891745187519,88,5.4423154568179797,88,61.0,88,0.0060419395632026326,88,0.79048607177297958,108
2012,3,9,81.864243845252048,77,4.1279737684522191,77,54.0,77,0.0065988144502852029,77,0.83897726544025986,103
2012,3,10,86.471762121988831,84,7.0475106242563808,84,60.5,84,0.0049296674088265243,84,0.83361164840572155,106
2012,3,11,98.418649422251747,86,4.1479424299122298,86,62.5,86,0.0060599584861019285,86,0.86587443302576972,115
2012,3,12,97.323292220113856,81,5.1638519305085078,81,63.0,81,0.0058744718128413888,81,0.91541514261075618,110
2012,3,13,101.13737461840384,75,5.2720031471487454,75,63.0,75,0.0063824662813102119,75,0.79929101685185455,114
2012,3,14,102.29872881355932,71,4.9282996237277361,71,62.0,71,0.0066183913415868564,71,0.78031529791835919,100
2012,3,15,108.1974921630094,63,5.0364824353889999,63,62.0,63,0.0078463520318538468,63,0.96012605516503791,88
2012,3,16,78.530018761726083,63,8.8161428708884415,63,60.0,63,0.0054823405376910909,63,1.1685040062420353,84
2012,3,17,108.0,61,5.046673438909056,61,59.0,61,0.0062546379730732534,61,0.88950488184005017,86
2012,3,18,100.86136512928022,76,5.3035530830902005,76,60.5,76,0.0079186215713111796,76,0.92505579351994283,97
2012,3,19,99.554463977938639,78,5.3750217189560114,78,61.5,78,0.0069923120206406321,78,0.78734919720371954,106
2012,3,20,91.257841328413278,65,4.7718095444609379,65,61.0,65,0.0070719744496406979,65,0.87234051952802782,88
2012,3,21,98.815118790496754,57,4.7643843935919836,57,54.0,57,0.0067045916294189356,57,0.80561591595581872,85
2012,3,22,90.211353442417277,64,4.5187323135741586,64,61.5,64,0.0059049424085715289,64,0.79682012132397695,86
2012,3,23,98.695423243029836,56,6.4469076958259031,56,66.0,56,0.0069962166467542816,56,0.79552778990342321,74
2012,3,24,87.123529411764707,105,5.0627232273840557,105,57.0,105,0.0059701492537313433,105,1.0367329850876286,129
2012,3,25,96.376305038583752,75,6.1650926664076069,75,60.0,75,0.0066666666666666671,75,0.92970899497423287,98
2012,3,26,83.343757727115374,64,9.063971672255601,64,58.0,64,0.004947144681299101,64,1.1214385297955951,87
2012,3,27,90.886323576320166,62,5.377945319889351,62,57.0,62,0.0066358986731408238,62,0.91683987055440064,87
2012,3,28,84.320336730172798,55,7.9426056178534168,55,61.0,55,0.0066055827828681015,55,1.1360605537685868,67
2012,3,29,97.256880733944953,63,6.61075419528974,63,49.0,63,0.004935563476830271,63,0.79940033747122363,95
2012,3,30,89.942890552822632,70,5.4566096089591269,70,64.0,70,0.0060769060338248682,70,0.78959952827917657,98
2012,3,31,99.595917839714261,42,3.3783391360362081,42,65.0,42,0.0086869043863646092,42,0.79800141342864583,65
2012,4,1,82.279398148148147,37,7.3680891156078321,37,57.0,37,0.0058120040236950936,37,1.0409362812191658,45
2012,4,2,108.28485850030985,43,4.9390794237478755,44,60.0,43,0.0052493989138995972,44,0.82899900710878116,56
2012,4,3,107.60393873085339,29,2.5059440100170103,29,64.0,29,0.0076272933415790561,29,0.65939186291225116,44
2012,4,4,71.141956882255386,33,5.0255030886382075,33,55.0,33,0.0045427013930950935,33,0.98683678666633856,44
2012,4,5,88.454590615544419,46,4.9930608270243813,46,58.5,46,0.0068383552953800537,46,0.79939467565218369,60
2012,4,6,115.29079975414618,40,4.1458052191983539,40,64.5,40,0.0066348974668624366,40,0.87155819035361515,49
2012,4,7,100.86921653300432,39,7.0405434980334203,39,61.0,39,0.0045967404931048896,39,0.84907926089774377,49
2012,4,8,110.46504739677394,44,4.9670521981161846,44,67.5,44,0.0078204087199848261,44,0.81902875263692787,58
2012,4,9,107.36375779162957,21,5.2499405377005743,21,63.0,21,0.0055317893494615722,21,1.0440812826479471,34
2012,4,10,96.478828003000473,22,5.1481389409616094,22,59.0,22,0.0056723392174359323,22,0.79115280419172951,40
2012,4,11,120.73824312333629,33,2.8375817756282329,33,61.0,33,0.0060047179927085565,33,0.78076948503899013,48
2012,4,12,101.88339918595855,30,5.3953612440398846,30,56.5,30,0.0057824081614980339,30,0.8436029735151197,41
