year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,101.57326869467403,604,7.9901900441477851,604,47.0,604,0.0034739940171255425,604,0.77985735857600791,1022
2012,1,1,106.85262397843974,426,8.2846413737725282,427,76.0,426,0.0031148237292935015,427,0.77873500370890403,776
2012,1,2,104.53182201360283,368,8.1970056093989427,368,78.0,368,0.0031936330013891067,368,0.78238869396860966,615
2012,1,3,103.17768595041322,275,8.4427846776846849,275,79.0,275,0.0022710068130204391,275,0.77985722338783192,477
2012,1,4,96.380514705882348,184,8.8199261322488915,184,76.5,184,0.0031231646683061178,184,0.77136499693544658,343
2012,1,5,90.074874276084373,152,10.975319750019844,152,44.0,152,0.0022667793563951348,152,0.78232045796729777,275
2012,1,6,74.63858093126386,117,10.496989807597627,117,39.0,117,0.0023180343069077423,117,0.78544896755609506,237
2012,1,7,66.215746421267895,133,11.599387222777612,133,36.0,133,0.0025820974576271187,133,0.74492203766251797,253
2012,1,8,58.310405643738974,195,11.04257819468959,195,38.0,195,0.0025812002581200259,195,0.76452965387964877,341
2012,1,9,59.231580931767006,232,11.431876289278808,232,37.0,232,0.0022507628289639065,232,0.80336449334205817,427
2012,1,10,65.25705482337365,280,12.019438586690836,280,38.0,280,0.00209664453774616,280,0.77509965889156274,507
2012,1,11,62.572033898305087,333,9.3874811774206979,333,38.0,333,0.0025006049850770347,333,0.78751790699887836,581
2012,1,12,74.122448979591837,383,9.403445527148806,383,40.0,383,0.002232142857142857,383,0.77352765272413782,695
2012,1,13,80.938180235089249,417,8.8206200967456407,417,42.0,417,0.0024888003982080635,417,0.79001154077746683,710
2012,1,14,90.274201698612501,456,9.1555110214614928,456,41.0,456,0.0027726612496804448,456,0.79380948401923401,806
2012,1,15,88.185229303156646,493,8.4603242516009178,493,41.0,493,0.0026814008287966199,493,0.78469319109392832,882
2012,1,16,90.706747214351779,572,7.9951651438320805,572,42.0,572,0.0031465558934590967,572,0.78529567560295821,986
