year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,119.36686958307862,198,11.19862092222591,198,36.0,198,0.0063381108449146331,198,2.163591822837537,480
2012,1,2,101.6351975726415,228,7.5635065094022416,228,29.0,228,0.0058171727263478506,226,3.4716718704916207,514
2012,1,3,96.653236121770277,195,5.8233748156301912,195,28.0,195,0.0057448753100927015,195,3.8370105322604795,451
2012,1,4,102.24424778761062,155,9.6547691457955089,155,27.0,155,0.005472815359770321,155,2.8902330535441743,444
2012,1,5,93.065919956606265,148,7.4133605300191903,148,27.0,148,0.0055564226055399473,148,1.6385970207154317,408
2012,1,6,90.229312678858108,164,7.3800555679362319,164,23.0,164,0.0051091318382485706,164,2.2157971355367039,450
2012,1,7,97.61144367797921,172,12.593132484579954,172,20.0,172,0.0052818178300943312,172,3.7765459030803425,474
2012,1,8,103.27007557646527,228,6.8844380303529782,229,27.0,228,0.0057067755977797474,228,3.482404727568758,555
2012,1,9,101.54636241017583,152,6.3499919767452715,152,26.0,152,0.0059169488197664891,152,3.3436086105658012,398
2012,1,10,85.172640813364751,164,9.648634603941467,164,21.5,164,0.0049856355470926338,164,4.0354040137392353,435
2012,1,11,90.723935197282472,181,12.566554528441353,181,23.0,181,0.0059920652124622453,180,2.2905181884187882,499
2012,1,12,96.053715437788014,162,10.997562582015092,162,24.0,162,0.0057693417413371305,162,3.9085170699269285,447
2012,1,13,96.613947071365857,157,12.024430224742309,157,20.0,157,0.0046805498119257159,156,3.378506741247187,454
2012,1,14,89.712511938872964,179,10.521773517040383,179,20.0,179,0.0054160512063023145,179,3.6969838091341556,485
2012,1,15,87.848797250859107,209,5.796494571674824,209,22.0,209,0.0060684747150010106,208,3.613775257353451,523
2012,1,16,84.230403800475059,203,7.1716168274900784,203,22.0,203,0.0051465652271201609,203,2.7867324077775715,529
2012,1,17,89.04310699542836,176,2.9612447254993199,176,34.5,176,0.0071107324982170282,176,0.62028560365501728,475
2012,1,18,91.762859221420001,160,7.4307227883550215,160,23.0,160,0.0062027830691103198,160,3.8854211927557349,372
2012,1,19,105.42374597656834,182,8.2127295935653777,182,25.0,182,0.0061383344503816535,182,3.9124133055673305,458
2012,1,20,99.373087924387519,185,13.670732672228052,185,22.0,185,0.0059348589877504512,185,3.9317244540519445,446
2012,1,21,101.919875,205,6.4542478554078491,205,25.0,205,0.0069418029669075692,205,2.5447598303848444,577
2012,1,22,87.36144151686706,190,8.5266926521962958,190,25.0,190,0.0056875654225430963,190,3.6308960957911953,491
2012,1,23,84.70253902180707,152,7.6146316858227596,152,25.0,152,0.0056175180996175817,152,3.2674556248095672,425
2012,1,24,97.666838709677421,159,11.244358861065649,159,24.0,159,0.0051286625340052627,159,3.4125936243905466,465
2012,1,25,106.12386755254943,162,8.4533577975508649,162,30.5,162,0.006245254299307312,162,3.0730112192311156,448
2012,1,26,99.488707075362981,165,7.7081598904605819,165,24.0,165,0.0053330963068308071,165,3.5120069367271798,447
2012,1,27,82.867753623188406,177,6.3928209151975981,177,26.0,177,0.005859375,175,3.5061145857215714,463
2012,1,28,87.707317073170742,196,9.351051274134516,196,25.0,196,0.0050281660221957805,196,3.8653467563693189,508
2012,1,29,95.679265661030513,228,10.083691336086225,228,23.0,228,0.0056177188377768564,227,3.6191538593226236,625
2012,1,30,89.94140625,157,7.3711158404420676,157,29.0,157,0.005143802835800868,157,3.7384133504988037,398
2012,1,31,100.43895747599451,157,14.783399783555867,157,21.0,157,0.0057067603160667248,157,3.1654225075435289,398
2012,2,1,108.54733897044721,150,6.1583245235606077,150,30.5,150,0.0054764146251266264,150,2.7826600045541983,387
2012,2,2,96.736154654720494,168,11.046172075161595,168,26.0,168,0.0053387395467989242,168,3.2770230292445719,394
2012,2,3,96.970904490828588,149,9.9819034994629163,149,23.0,149,0.0059643032002492545,149,3.0870077737313051,430
2012,2,4,86.453881065845238,188,7.0075748973732734,188,23.0,188,0.0053642657374719177,187,3.6565445561785759,518
2012,2,5,85.922110817941956,179,5.8886721761616485,179,29.0,179,0.0053904692879144771,179,2.7325011008079492,487
2012,2,6,90.002999148402296,158,7.4986931864902573,158,29.5,158,0.0056207969487102275,157,2.5875142282522536,448
2012,2,7,77.096299135126742,158,10.306284371957277,158,24.0,158,0.0048084508117768911,158,3.7941332615616523,412
2012,2,8,98.245986535473847,173,12.459138206321917,173,21.0,173,0.0053605556332447677,173,3.6740826633260308,450
2012,2,9,85.115061858041543,176,11.140218885218939,176,27.0,176,0.0057410061196566022,176,3.5142528310315497,552
2012,2,10,102.18092543582816,206,4.2381854269451704,206,40.0,206,0.0052411231601781835,206,3.1745101990152897,517
2012,2,11,88.645511097554873,214,5.7455085977799998,214,23.5,214,0.0048988305411564372,212,3.8098420143589933,593
2012,2,12,102.09788758037043,240,9.3692679274231132,240,22.5,240,0.0062514849073729466,240,3.4528721383128649,633
2012,2,13,98.153427646356647,172,14.04827935033946,172,22.0,172,0.0049651226138799631,172,3.9362004294101687,465
2012,2,14,93.894502228826155,147,5.3013611600610906,147,22.0,147,0.0050999684072753531,147,3.3947957432498868,418
2012,2,15,100.63712491277042,165,7.7948245147858213,165,29.0,165,0.0052562417871222077,165,3.4141706820395044,446
2012,2,16,92.489637438490973,150,8.8150141563782114,150,25.0,150,0.0039799980375565909,150,3.772290304963561,432
2012,2,17,101.04784431781529,163,9.6710554914755313,163,24.0,163,0.0051186809204566046,163,3.3514251620510072,464
2012,2,18,80.282136715391232,253,9.2254713053514159,253,22.0,252,0.0052023121387283237,253,4.0277007598150725,630
2012,2,19,93.534786253143338,207,9.0731917177761652,207,26.0,207,0.0037003336366393689,207,3.6519457826911608,606
2012,2,20,84.300961252601326,217,9.6349120335248006,217,21.0,217,0.0050789837552281114,216,3.8759158244379086,552
2012,2,21,95.694252873563215,185,10.421527104536192,185,21.0,185,0.0050582172170261499,185,3.7092887653249536,500
2012,2,22,100.14067796610169,177,11.65624490547552,177,22.0,177,0.005916364125319349,177,3.8500276414678307,484
2012,2,23,108.53435114503817,175,5.2761378476810714,175,31.0,175,0.00482897384305835,175,2.5050972746886524,470
2012,2,24,88.674489795918362,185,4.3611860869927357,185,25.0,185,0.0054979720594862547,185,1.0653047743879844,538
2012,2,25,85.703384650435723,196,6.2210409170949781,196,33.5,196,0.0055152650391917125,196,3.4537309202770721,571
2012,2,26,89.050314465408803,205,10.518794216700446,205,30.0,205,0.0043859649122807015,205,3.8123526602591422,616
2012,2,27,86.396421845574395,161,9.5626929200312691,161,28.0,161,0.0051546391752577319,161,3.6111003797336108,526
2012,2,28,78.867635690876085,176,3.3404420439749174,176,36.0,176,0.005720679342900924,176,2.5296748405519125,485
2012,2,29,113.95213675213675,167,6.8978150026233216,167,34.0,167,0.005614823133071308,167,2.210983784069608,466
2012,3,1,100.70526315789473,181,10.80907357574476,181,32.0,181,0.0055799123156636109,181,1.1415532728170692,554
2012,3,2,104.0479233226837,189,6.1387705447206606,189,34.0,189,0.0060428492950009155,189,3.2513157207333934,509
2012,3,3,95.523178807947019,225,3.1381447273273388,225,32.0,225,0.0055572984358893919,225,3.0139034785331349,637
2012,3,4,90.113688503696153,265,6.2475507087410165,265,29.0,265,0.0057533093222320968,265,3.4130687786761627,635
2012,3,5,99.342739802055391,196,8.5523139336823135,196,25.5,196,0.0067981936168647356,196,3.2528972292487794,563
2012,3,6,68.682577565632457,225,11.324305300022603,225,23.0,225,0.0055045871559633031,225,3.9341744579009945,589
2012,3,7,101.07649731997203,151,10.323058965329553,151,22.0,151,0.0052264808362369342,151,3.6095759714320996,472
2012,3,8,112.33022553362868,142,4.5650001408858429,142,35.0,142,0.0062354532093844015,140,1.3271332672956602,390
2012,3,9,102.13365841460364,155,12.553454324655227,155,21.0,155,0.0058850158442734267,155,3.6124394799110049,442
2012,3,10,94.713737261274275,204,7.9611074682116447,204,24.5,204,0.0063152400835073067,204,4.0000888081240209,569
2012,3,11,71.602402402402404,243,8.2453596683803632,243,21.0,243,0.0047438330170777986,243,4.0131391067156654,568
2012,3,12,73.482496263940874,214,5.7335999156827331,214,20.0,214,0.0058882831007916279,214,2.3699637908041291,558
2012,3,13,96.371930271026855,171,10.731597361787902,171,26.0,171,0.0051108839607128575,171,3.374173267945348,451
2012,3,14,105.19605048634105,162,13.785933967711143,162,24.0,162,0.00588227914000159,162,3.5226179913828144,426
2012,3,15,100.45881006864988,167,12.468501838513152,167,22.0,167,0.0056962025316455696,165,4.2190108489800728,405
2012,3,16,78.828590049967417,179,11.162479636354849,179,22.0,179,0.0051846032992930082,179,3.7384532507643087,469
2012,3,17,87.357805566760788,183,10.991549405189632,183,21.0,183,0.0049101072669587549,181,3.5741086104970639,529
2012,3,18,73.853981927594432,184,7.797234777689086,184,31.5,184,0.0049539673830503719,184,3.216188416641196,503
2012,3,19,80.056603773584911,157,14.484076189382851,157,19.0,157,0.0047307049653535884,156,4.0526029360614055,456
2012,3,20,86.558004640371223,115,11.988006311861499,115,22.0,115,0.0060802414344044023,115,3.6534302696749688,377
2012,3,21,99.893655049151022,153,12.102427878033604,153,24.0,153,0.0052282868346328927,153,3.973308644228005,436
2012,3,22,98.120269682470635,183,11.89528310119346,183,23.0,183,0.004758388711132989,183,3.4872693684914635,470
2012,3,23,68.86397449521786,159,12.111770988273763,159,20.0,159,0.0059274445137712812,159,3.3854782128081857,456
2012,3,24,88.057175163594366,218,10.204745655163521,218,19.0,218,0.0042149207247013046,218,3.3392630349159091,580
2012,3,25,106.31709929290369,210,9.1444404988788524,210,27.0,210,0.0052995438918963123,210,1.4047516685468056,595
2012,3,26,85.64616646166462,195,9.7954612696475163,195,22.0,195,0.0047560975609756096,195,2.4846627234656591,489
