year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,73.034443168771531,293,10.959834635953923,293,33.0,293,0.0022438131454100888,288,2.9658091138748559,583
2012,1,1,77.877918612408266,197,8.8360630263729387,197,33.0,197,0.0024855012427506215,185,2.960676677358701,412
2012,1,2,75.74887892376681,141,9.0265276768867881,141,36.0,141,0.001677395956115695,133,2.7071470700079878,322
2012,1,3,73.343245711245643,128,7.6482393472973165,128,34.0,128,0.002164574563514671,124,2.873878964500713,273
2012,1,4,68.564655486969485,90,7.1450152702690994,90,33.0,90,0.0027787446761867248,88,2.8537670087899203,174
2012,1,5,74.054318305268879,67,7.9168794778027989,67,35.0,67,0.001539408866995074,65,2.9284826232632906,147
2012,1,6,72.233201581027672,65,8.2023507254401959,65,33.0,65,0.0030283029054880167,62,2.9236323610453661,123
2012,1,7,70.283077423552385,84,13.352990032047604,84,35.0,84,0.001299523620589669,80,2.8474791537266224,178
2012,1,8,78.947208484193112,98,9.8638507954377772,98,33.0,98,0.0021396173891662386,88,2.9530987866262661,225
2012,1,9,74.724637681159422,143,8.6530588603559053,143,37.0,143,0.0018275356383851363,138,2.9155756508210637,289
2012,1,10,72.061049011177985,187,11.353587610140622,187,33.0,187,0.0021501412949993855,181,3.0281882957388127,401
2012,1,11,73.396618154713735,202,9.2139849788823831,202,33.5,202,0.0025877901960101165,190,2.8809132533697319,449
2012,1,12,70.255854352583881,222,10.805100356178084,222,32.0,222,0.00200300450676014,213,2.9427212724158749,463
2012,1,13,68.119700748129674,245,9.0099664425368751,245,33.0,245,0.0022169664625906215,236,2.9750669053019672,515
2012,1,14,69.421863276139817,254,10.999982621842804,254,34.0,254,0.0024210186976144424,248,2.9535759113860873,565
2012,1,15,78.428571428571431,283,9.6318245419062851,283,34.0,283,0.0026143833728864566,264,2.9510881538871052,606
2012,1,16,67.266055045871553,301,10.174138374361419,301,33.0,301,0.0023296518411983391,292,2.964517727681347,612
2012,1,17,73.255942304370365,324,8.9464834585232218,324,34.0,323,0.0025216267872483532,314,2.9634138086991637,652
2012,1,18,67.552649699530377,372,10.3066411543131,372,32.0,372,0.0022940278817680524,368,3.0915921736334031,728
2012,1,19,65.241962774957699,387,10.005028924752487,387,33.0,387,0.0021505376344086021,383,2.9856910395022203,751
2012,1,20,76.164292420467262,420,9.3589205100191251,420,34.0,420,0.0025259222448937124,414,2.9185750929815577,850
2012,1,21,75.498946161656505,432,9.512237683085992,432,34.0,432,0.0028259727413335427,418,2.9899531223994886,865
2012,1,22,67.994933502216597,401,8.9933473948851024,401,33.0,400,0.0027777872645825671,394,2.9386763200760084,832
2012,1,23,70.677002819143084,354,10.299805674889946,354,32.0,354,0.0017626085787294668,340,2.9962827641275425,751
2012,2,0,68.52256532066508,259,9.6986150874896015,259,29.0,259,0.00166828861393021,249,2.9153134279070558,540
2012,2,1,70.399600169381642,186,8.5630660065643092,186,29.0,186,0.001886199308393587,177,2.9689407048999383,438
2012,2,2,72.908914728682177,131,9.6909884134024527,131,31.0,131,0.0019794630706420884,127,2.8343511878604755,290
2012,2,3,53.238869257950533,87,12.279312803410422,87,26.0,87,0.0013717421124828531,87,2.967161872876908,225
